graph_name,demand_model,weight_mode,total_inventory,inventory_placement,fulfillment_algorithm,reward
complete,deter,rewardbased,30,fluid_lp_rounding_withscaling,offline_with_rejections,23.924345895702636
complete,deter,rewardbased,30,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,26.338827551658966
complete,deter,rewardbased,30,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,26.241982692413565
complete,deter,rewardbased,30,myopic_greedy,offline,27.39337745391795
complete,deter,rewardbased,30,myopic_greedy,myopic,25.353291902600677
complete,deter,rewardbased,30,myopic_greedy,fluid_with_rejections,25.170808936157822
complete,deter,rewardbased,30,myopic_greedy,offline_with_rejections,23.524542274604347
complete,deter,rewardbased,30,myopic_greedy,fluid_with_rejections_resolving,26.250204780751442
complete,deter,rewardbased,30,myopic_greedy,offline_with_rejections_resolving,26.231460806880936
complete,deter,rewardbased,45,offline_relaxation,,40.1927016863728
complete,deter,rewardbased,45,offline_lp_rounding,offline,40.1927016863728
complete,deter,rewardbased,45,offline_lp_rounding,myopic,38.00899603288225
complete,deter,rewardbased,45,offline_lp_rounding,fluid_with_rejections,38.17607704537743
complete,deter,rewardbased,45,offline_lp_rounding,offline_with_rejections,35.642846452827264
complete,deter,rewardbased,45,offline_lp_rounding,fluid_with_rejections_resolving,38.67906755946356
complete,deter,rewardbased,45,offline_lp_rounding,offline_with_rejections_resolving,38.92398224241935
complete,deter,rewardbased,45,fluid_lp_rounding,offline,40.167049596071166
complete,deter,rewardbased,45,fluid_lp_rounding,myopic,37.772096818523075
complete,deter,rewardbased,45,fluid_lp_rounding,fluid_with_rejections,37.34570763262007
complete,deter,rewardbased,45,fluid_lp_rounding,offline_with_rejections,37.19523384066675
complete,deter,rewardbased,45,fluid_lp_rounding,fluid_with_rejections_resolving,38.66660576786697
complete,deter,rewardbased,45,fluid_lp_rounding,offline_with_rejections_resolving,38.954639518917624
complete,deter,rewardbased,45,fluid_lp_rounding_withscaling,offline,40.09656197167904
complete,deter,rewardbased,45,fluid_lp_rounding_withscaling,myopic,38.20554727209985
complete,deter,rewardbased,45,fluid_lp_rounding_withscaling,fluid_with_rejections,37.259154553077245
complete,deter,rewardbased,45,fluid_lp_rounding_withscaling,offline_with_rejections,37.44345251172893
complete,deter,rewardbased,45,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,38.662306506712085
complete,deter,rewardbased,45,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,38.81652453650119
complete,deter,rewardbased,45,myopic_greedy,offline,40.10405010200115
complete,deter,rewardbased,45,myopic_greedy,myopic,38.22004948829712
complete,deter,rewardbased,45,myopic_greedy,fluid_with_rejections,37.28344016926651
complete,deter,rewardbased,45,myopic_greedy,offline_with_rejections,37.52823780502519
complete,deter,rewardbased,45,myopic_greedy,fluid_with_rejections_resolving,38.62125156993331
complete,deter,rewardbased,45,myopic_greedy,offline_with_rejections_resolving,38.851614495404085
complete,deter,rewardbased,60,offline_relaxation,,51.65334072355352
complete,deter,rewardbased,60,offline_lp_rounding,offline,51.65334072355352
complete,deter,rewardbased,60,offline_lp_rounding,myopic,50.93160677850641
complete,deter,rewardbased,60,offline_lp_rounding,fluid_with_rejections,49.06936328550126
complete,deter,rewardbased,60,offline_lp_rounding,offline_with_rejections,50.94906778096462
